"";"ModulePath";"ModuleLevel";"AlternativeCost";"pid"
"8749";"Font-Awesome/src/";2;29829;4
"8763";"Font-Awesome/src/assets/js/";4;11473;4
"8773";"Font-Awesome/src/3.2.1/";3;18356;4
"8934";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"8985";"Font-Awesome/";1;86044;4
"8993";"Font-Awesome/docs/assets/js/";4;50479;4
"8998";"Font-Awesome/docs/";2;50479;4
"9012";"Font-Awesome/build/";2;5736;4
"9026";"Font-Awesome/build/assets/js/";4;4589;4
"9045";"Font-Awesome/build/assets/";3;4589;4
"9067";"Font-Awesome/src/";2;29829;4
"9081";"Font-Awesome/src/assets/js/";4;11473;4
"9091";"Font-Awesome/src/3.2.1/";3;18356;4
"9252";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"9303";"Font-Awesome/";1;86044;4
"9311";"Font-Awesome/docs/assets/js/";4;50479;4
"9319";"Font-Awesome/src/assets/js/";4;11473;4
"9329";"Font-Awesome/src/3.2.1/";3;18356;4
"9490";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"9541";"Font-Awesome/";1;86044;4
"9549";"Font-Awesome/docs/assets/js/";4;50479;4
"9554";"Font-Awesome/docs/";2;50479;4
"9568";"Font-Awesome/build/";2;5736;4
"9582";"Font-Awesome/build/assets/js/";4;4589;4
"9601";"Font-Awesome/build/assets/";3;4589;4
"9623";"Font-Awesome/src/";2;29829;4
"9637";"Font-Awesome/src/assets/js/";4;11473;4
"9647";"Font-Awesome/src/3.2.1/";3;18356;4
"9808";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"9859";"Font-Awesome/";1;86044;4
"9867";"Font-Awesome/docs/assets/js/";4;50479;4
"9872";"Font-Awesome/docs/";2;50479;4
"9886";"Font-Awesome/build/";2;5736;4
"9900";"Font-Awesome/build/assets/js/";4;4589;4
"9919";"Font-Awesome/build/assets/";3;4589;4
"9941";"Font-Awesome/src/";2;29829;4
"9955";"Font-Awesome/src/assets/js/";4;11473;4
"9965";"Font-Awesome/src/3.2.1/";3;18356;4
"10126";"Font-Awesome/src/3.2.1/assets/";4;18356;4
"10177";"Font-Awesome/";1;86044;4
"10185";"Font-Awesome/docs/assets/js/";4;50479;4
"10190";"Font-Awesome/docs/";2;50479;4
"10204";"Font-Awesome/build/";2;5736;4
"10218";"Font-Awesome/build/assets/js/";4;4589;4
"10237";"Font-Awesome/build/assets/";3;4589;4
